dataset,bin,n,ref_mean,ref_std,RMSE,MAE,MBE,R2,R2_lo,R2_hi,NRMSE_pct,NMAE_pct
kapsarc,"[0, 25)",654,14.389908256880734,5.690804677569525,6.502907901300961,4.91175761212084,3.22931974938005,-0.30777314215216633,-0.5793843644409393,-0.08415585209643513,45.19075302784857,34.133349041834336
kapsarc,"[25, 50)",794,36.623425692695214,7.007508518688392,7.855773800898126,5.495409038747015,0.2783523952863319,-0.25833995357724016,-0.6272747471713067,0.0947724271689335,21.450133766336915,15.0051747885592
kapsarc,"[50, 75)",820,61.96951219512195,7.202651611590438,8.625757388619194,6.452819497212175,-2.1133280385211495,-0.43595096865600325,-0.7022472866046097,-0.19203543221302957,13.919356604679207,10.41289380638391
kapsarc,"[75, 100)",832,86.82451923076923,7.240611150224217,10.312386125406237,7.770058303197828,-3.9812327858308225,-1.0309076933479235,-1.4996135724925752,-0.6789604610619633,11.877274088897796,8.949152119743893
kapsarc,"[100, 150)",1649,124.65009096422074,14.638340370078302,12.737914819131863,9.861497674061473,-7.38827847747409,0.242336358967582,0.11263447695401736,0.340298108991065,10.218937443686361,7.911344145662993
kapsarc,"[150, 1000000000.0)",0,,,,,,,,,,
slv,"[0, 20)",72,10.222222222222221,4.648859385238983,9.820900941577174,7.204086291732498,5.552784932139891,-3.5256815175356904,-7.1282167409329364,-1.6120089786582208,96.07403095021148,70.47475720173097
slv,"[20, 50)",61,31.475409836065573,7.822204628229924,19.47820055215291,14.378088244322935,7.090873096668034,-5.3040246856640065,-8.487636749625649,-3.0303446333173025,61.88386633756914,45.68038452623433
slv,"[50, 100)",4,54.75,7.088723439378913,21.37472554094042,18.205355123056645,-1.4817698390131575,-11.122823003662509,-195.26907431169548,-4.239828443940529,39.04059459532497,33.2517901790989
slv,"[100, 200)",2,121.5,9.192388155425117,19.737884639660933,15.180675554741981,-12.614720755935195,-8.220925208250012,-8.220925208250012,-8.220925208250012,16.24517254293081,12.494383172627145
slv,"[200, 1000000000.0)",0,,,,,,,,,,
