perturbation,RMSE_test,R2_test,delta_RMSE_vs_base,delta_R2_vs_base
baseline,10.033,0.9429,0.0,0.0
gain x1.20,9.559,0.9481,-0.474,0.0052
gain x0.80,11.112,0.9299,1.079,-0.013
gain_drift x1.20,12.377,0.913,2.344,-0.0299
gain_drift x0.80,8.348,0.9604,-1.685,0.0175
offset x1.20,10.033,0.9429,0.0,0.0
offset x0.80,10.005,0.9432,-0.028,0.0003
noise x1.20,11.192,0.9289,1.159,-0.014
noise x0.80,9.19,0.9521,-0.843,0.0092
temp_coeff x1.20,10.299,0.9398,0.266,-0.0031
temp_coeff x0.80,9.966,0.9436,-0.067,0.0007
humidity_coeff x1.20,10.073,0.9424,0.04,-0.0005
humidity_coeff x0.80,10.163,0.9414,0.13,-0.0015
dust_factor x1.20,9.832,0.9451,-0.201,0.0022
dust_factor x0.80,10.46,0.9379,0.427,-0.005
