dataset,pm,model,split,n_seeds,n_train,n_test,RMSE,MAE,R2,MBE_test,u_A_model,u_input_MC,u_B_bias,u_c,U,raw_oof_std,bias_correction,coverage_actual,coverage_target,k_empirical,fit_seconds,error
KAPSARC,pm25,Uncalibrated,temporal,1.0,18993.0,4749.0,24.97,18.06,0.646,-0.27,24.97,0.0,0.0,24.97,49.95,24.97,0.0,0.9514,0.95,,0.0,
KAPSARC,pm25,Affine,temporal,1.0,18993.0,4749.0,24.85,18.85,0.6496,-9.61,22.635,5.204,5.549,23.879,47.758,22.702,0.121,0.9278,0.95,2.234,0.0,
KAPSARC,pm25,MLR,temporal,1.0,18993.0,4749.0,16.85,12.35,0.8389,0.12,15.462,5.925,0.068,16.559,33.118,15.561,0.051,0.952,0.95,1.982,0.0,
KAPSARC,pm25,RF,temporal,1.0,18993.0,4749.0,10.79,8.04,0.9339,-4.11,8.631,5.829,2.373,10.682,21.363,8.806,0.12,0.9556,0.95,1.927,15.5,
KAPSARC,pm25,GBR,temporal,1.0,18993.0,4749.0,9.99,7.33,0.9434,-2.37,8.596,5.914,1.366,10.523,21.046,8.772,-0.77,0.9661,0.95,1.802,988.7,
KAPSARC,pm25,ANN,temporal,1.0,18993.0,4749.0,9.41,6.98,0.9498,-0.77,7.879,6.09,0.444,9.968,19.936,8.07,0.342,0.9718,0.95,1.706,158.1,
SaltLakeValley,pm10,Uncalibrated,random,1.0,555.0,138.0,29.47,18.67,-0.3041,-18.57,22.97,0.0,0.0,22.97,45.94,22.97,0.0,0.9203,0.95,,0.0,
SaltLakeValley,,Affine,,,,,,,,,,,,,,,,,,,,cannot access local variable 'split' where it is not associated with a value
SaltLakeValley,,MLR,,,,,,,,,,,,,,,,,,,,cannot access local variable 'split' where it is not associated with a value
SaltLakeValley,,RF,,,,,,,,,,,,,,,,,,,,cannot access local variable 'split' where it is not associated with a value
SaltLakeValley,,GBR,,,,,,,,,,,,,,,,,,,,cannot access local variable 'split' where it is not associated with a value
SaltLakeValley,,ANN,,,,,,,,,,,,,,,,,,,,cannot access local variable 'split' where it is not associated with a value
SaltLakeValley,pm10,Uncalibrated,temporal,1.0,554.0,139.0,22.66,15.89,-0.5871,-15.84,16.27,0.0,0.0,16.27,32.53,16.27,0.0,0.8993000000000001,0.95,,0.0,
SaltLakeValley,pm10,Affine,temporal,1.0,554.0,139.0,24.41,18.99,-0.8418,16.61,28.93,3.444,9.59,30.672,61.344,29.012,-0.166,0.9712,0.95,1.648,0.0,
SaltLakeValley,pm10,MLR,temporal,1.0,554.0,139.0,26.72,23.47,-1.2065,22.28,24.215,3.689,12.866,27.668,55.335,24.313,-0.644,0.9784,0.95,1.667,0.0,
SaltLakeValley,pm10,RF,temporal,1.0,554.0,139.0,15.37,10.83,0.2697,5.1,23.938,3.136,2.944,24.322,48.644,24.037,2.351,0.9856,0.95,1.297,2.2,
SaltLakeValley,pm10,GBR,temporal,1.0,554.0,139.0,14.49,10.08,0.351,2.82,23.163,3.192,1.63,23.438,46.876,23.265,2.94,0.9928,0.95,1.342,1.6,
SaltLakeValley,pm10,ANN,temporal,3.0,554.0,139.0,16.93,14.46,0.1138,10.52,25.049,2.22,6.071,25.87,51.739,25.143,-4.454,0.9928,0.95,1.026,92.2,
